record_id,url,domain,label,source
phish_d2c7e6ec6d1f,http://acb.chamsocthekhachhang-tructuyen-thang8.com.vn,acb.chamsocthekhachhang-tructuyen-thang8.com.vn,1,local_blacklist
phish_dab9591361c4,http://canhantpb.com,canhantpb.com,1,local_blacklist
phish_5a32a78040c4,http://cskh-dienmay-xanh.com,cskh-dienmay-xanh.com,1,local_blacklist
phish_b88f96737279,http://cskh-vib-ca-nhan.com,cskh-vib-ca-nhan.com,1,local_blacklist
phish_d81d2feb67fc,http://ctv.chungkhoanvpbank.com,ctv.chungkhoanvpbank.com,1,local_blacklist
phish_c7265691dd68,http://dichvu-dien-mayxanh.com,dichvu-dien-mayxanh.com,1,local_blacklist
phish_4f0a4aa3219a,http://dienlanhdienmayxanh.com,dienlanhdienmayxanh.com,1,local_blacklist
phish_505ebf6e426f,http://dienmay-xanh24h.online,dienmay-xanh24h.online,1,local_blacklist
phish_6ba4f5230654,http://dienmayxanh-services.com,dienmayxanh-services.com,1,local_blacklist
phish_2a49f04d16c1,http://dienmayxanh263.com,dienmayxanh263.com,1,local_blacklist
phish_0162ae3dcb33,http://dienmayxanh389.com,dienmayxanh389.com,1,local_blacklist
phish_cde55cecf323,http://dienmayxanh542.com,dienmayxanh542.com,1,local_blacklist
phish_3d7c4b031c0d,http://dienmayxanhctv24.com,dienmayxanhctv24.com,1,local_blacklist
phish_7c95f1b780ba,http://goshare.vn,goshare.vn,1,local_blacklist
phish_953caac17181,http://korshoptiktok.com,korshoptiktok.com,1,local_blacklist
phish_0b4b1f79ceb5,http://magiamgiadienmayxanh.com,magiamgiadienmayxanh.com,1,local_blacklist
phish_53309f3e7041,http://mitsubishixpanderhcm.com,mitsubishixpanderhcm.com,1,local_blacklist
phish_fea3e6a8af3c,http://nang-hang-vvip-vib.com,nang-hang-vvip-vib.com,1,local_blacklist
phish_cc3ad6d04b33,http://ocb.hotrokhachhang-tructuyenthe.com,ocb.hotrokhachhang-tructuyenthe.com,1,local_blacklist
phish_7586c85933e3,http://shopee.vntheme.com,shopee.vntheme.com,1,local_blacklist
phish_921f008971fc,http://tiktok8s.com,tiktok8s.com,1,local_blacklist
phish_c35e16538f51,http://tiktokseller-shopping.com,tiktokseller-shopping.com,1,local_blacklist
phish_be767614d22d,http://tiktokshop-market.com,tiktokshop-market.com,1,local_blacklist
phish_e62fc18d3407,http://tiktokshop-trade.com,tiktokshop-trade.com,1,local_blacklist
phish_ab0fb93f9df1,http://tiktokshops-vn.com,tiktokshops-vn.com,1,local_blacklist
phish_81f018d0d979,http://tpb-vayuudai.com,tpb-vayuudai.com,1,local_blacklist
phish_b9d4f24c4bfc,http://vib.truc-tuyen-cham-socthekhachhang.com,vib.truc-tuyen-cham-socthekhachhang.com,1,local_blacklist
phish_3f14d12832ff,http://vieclamlazada.vn,vieclamlazada.vn,1,local_blacklist
phish_02c9295f223b,http://vietinbankamc.vn,vietinbankamc.vn,1,local_blacklist
phish_d40241f8e8d0,http://vietnamairlinesgiare.vn,vietnamairlinesgiare.vn,1,local_blacklist
phish_69475c7c9365,http://viettelgroupvn.com,viettelgroupvn.com,1,local_blacklist
phish_58f3a7041976,http://vinfastspace.vingroupinvest.asia,vinfastspace.vingroupinvest.asia,1,local_blacklist
phish_95bcfa925ce3,http://vinhomes.tech,vinhomes.tech,1,local_blacklist
phish_6ebc786881a7,http://vn.congtygiaohangtietkiemvn.com,vn.congtygiaohangtietkiemvn.com,1,local_blacklist
phish_4c2b226acea8,http://winmartmasangroup.com,winmartmasangroup.com,1,local_blacklist
phish_c2f930917603,http://acb.chamsockhachhang-the-tructuyen-thang9.com.vn,acb.chamsockhachhang-the-tructuyen-thang9.com.vn,1,local_blacklist
phish_6c02f96ff420,http://acb.chamsockhachhangtructuyen-uudai-capnhatthe-thang10.com.vn,acb.chamsockhachhangtructuyen-uudai-capnhatthe-thang10.com.vn,1,local_blacklist
phish_c46d946f3949,http://acb.chamsocthe-uudaikhachhang-thang10.com.vn,acb.chamsocthe-uudaikhachhang-thang10.com.vn,1,local_blacklist
phish_7f73215e8549,http://acb.chamsocthe-uudaikhachhang-tructuyen.com,acb.chamsocthe-uudaikhachhang-tructuyen.com,1,local_blacklist
phish_8ecbccab1440,http://acb.chamsocthe-uudaikhachhang.online,acb.chamsocthe-uudaikhachhang.online,1,local_blacklist
phish_753aa73fc99e,http://acb.chamsocthe-uudaitructuyen.com.vn,acb.chamsocthe-uudaitructuyen.com.vn,1,local_blacklist
phish_d005bb99fa91,http://acb.chamsocthekhachhang-thang10.com.vn,acb.chamsocthekhachhang-thang10.com.vn,1,local_blacklist
phish_0059d8a7c03f,http://acb.hotrokhachhang-uudai-tructuyen.com.vn,acb.hotrokhachhang-uudai-tructuyen.com.vn,1,local_blacklist
phish_f7096e5da3a3,http://acb.uudaikhachhang-chamsocthetructuyen.com,acb.uudaikhachhang-chamsocthetructuyen.com,1,local_blacklist
phish_48c33d73963b,http://acb.uudaikhachhang-tructuyen-the.com.vn,acb.uudaikhachhang-tructuyen-the.com.vn,1,local_blacklist
phish_02feb274eea4,http://af.tiktok25881.shop,af.tiktok25881.shop,1,local_blacklist
phish_d8040440952a,http://affiliatetiktokvinamilks.com,affiliatetiktokvinamilks.com,1,local_blacklist
phish_f016439b57d2,http://agribank.dangkyungtuyen.com,agribank.dangkyungtuyen.com,1,local_blacklist
phish_6bb7426f55d1,http://albbcbe-cme-vn.top,albbcbe-cme-vn.top,1,local_blacklist
phish_13f1ed18fed2,http://amzzcbe-vn.com,amzzcbe-vn.com,1,local_blacklist
phish_4fe092746b29,http://app.vingroup.vip,app.vingroup.vip,1,local_blacklist
phish_8fff8aee0a9d,http://apple.support-find-my-iphone.com,apple.support-find-my-iphone.com,1,local_blacklist
phish_3f075f350cba,http://bafybeigdypfsltkfckfg72siuqsn47o2dckwegd27xtduwl5d3cazdvjgy.ipfs.inbrowser.link,bafybeigdypfsltkfckfg72siuqsn47o2dckwegd27xtduwl5d3cazdvjgy.ipfs.inbrowser.link,1,local_blacklist
phish_4c8b24c920d4,http://best-buy-vi.top,best-buy-vi.top,1,local_blacklist
phish_428cd4dd9874,http://bio.linkvibthetindung,bio.linkvibthetindung,1,local_blacklist
phish_244d9153c373,http://cct-giaohangtietkiem.com,cct-giaohangtietkiem.com,1,local_blacklist
phish_63ec4cb45afe,http://ccty-ghtk.com,ccty-ghtk.com,1,local_blacklist
phish_ca587050f124,http://chats-ghtkvn.com,chats-ghtkvn.com,1,local_blacklist
phish_108e30b5fc07,http://corona.vinpearl-vingrouphms.com,corona.vinpearl-vingrouphms.com,1,local_blacklist
